LED,Cathode,Red,Green,Blue
111,4,8,12,16
112,16,4,8,12
113,12,16,4,8
114,8,12,16,4
121,4,7,11,13
122,13,4,7,11
123,11,13,4,7
124,7,11,13,4
131,4,6,10,15
132,15,4,6,10
133,10,15,4,6
134,6,10,15,4
141,4,5,9,14
142,14,4,5,9
143,9,14,4,5
144,5,9,14,4
211,3,8,11,15
212,15,3,8,11
213,11,15,3,8
214,8,11,15,3
221,3,7,12,14
222,14,3,7,12
223,12,14,3,7
224,7,12,14,3
231,3,6,9,16
232,16,3,6,9
233,9,16,3,6
234,6,9,16,3
241,3,5,10,13
242,13,3,5,10
243,10,13,3,5
244,5,10,13,3
311,2,8,10,14
312,14,2,8,10
313,10,14,2,8
314,8,10,14,2
321,2,7,9,15
322,15,2,7,9
323,9,15,2,7
324,7,9,15,2
331,2,6,12,13
332,13,2,6,12
333,12,13,2,6
334,6,12,13,2
341,2,5,11,16
342,16,2,5,11
343,11,16,2,5
344,5,11,16,2
411,1,8,9,13
412,13,1,8,9
413,9,13,1,8
414,8,9,13,1
421,1,7,10,16
422,16,1,7,10
423,10,16,1,7
424,7,10,16,1
431,1,6,11,14
432,14,1,6,11
433,11,14,1,6
434,6,11,14,1
441,1,5,12,15
442,15,1,5,12
443,12,15,1,5
444,5,12,15,1
