LED Coordinates,Cathode,Red,Green,Blue,
"(0,0,0)",4,8,12,16,112
"(0,0,1)",16,4,8,12,113
"(0,0,2)",12,16,4,8,114
"(0,0,3)",8,12,16,4,111
"(0,1,0)",3,8,11,15,
"(0,1,1)",15,3,8,11,
"(0,1,2)",11,15,3,8,
"(0,1,3)",8,11,15,3,
"(0,2,0)",2,8,10,14,
"(0,2,1)",14,2,8,10,
"(0,2,2)",10,14,2,8,
"(0,2,3)",8,10,14,2,
"(0,3,0)",1,8,9,13,
"(0,3,1)",13,1,8,9,
"(0,3,2)",9,13,1,8,
"(0,3,3)",8,9,13,1,
"(1,0,0)",4,7,11,13,
"(1,0,1)",13,4,7,11,
"(1,0,2)",11,13,4,7,
"(1,0,3)",7,11,13,4,
"(1,1,0)",3,7,12,14,
"(1,1,1)",14,3,7,12,
"(1,1,2)",12,14,3,7,
"(1,1,3)",7,12,14,3,
"(1,2,0)",2,7,9,15,
"(1,2,1)",15,2,7,9,
"(1,2,2)",9,15,2,7,
"(1,2,3)",7,9,15,2,
"(1,3,0)",1,7,10,16,
"(1,3,1)",16,1,7,10,
"(1,3,2)",10,16,1,7,
"(1,3,3)",7,10,16,1,
"(2,0,0)",4,6,10,15,
"(2,0,1)",15,4,6,10,
"(2,0,2)",10,15,4,6,
"(2,0,3)",6,10,15,4,
"(2,1,0)",3,6,9,16,
"(2,1,1)",16,3,6,9,
"(2,1,2)",9,16,3,6,
"(2,1,3)",6,9,16,3,
"(2,2,0)",2,6,12,13,
"(2,2,1)",13,2,6,12,
"(2,2,2)",12,13,2,6,
"(2,2,3)",6,12,13,2,
"(2,3,0)",1,6,11,14,
"(2,3,1)",14,1,6,11,
"(2,3,2)",11,14,1,6,
"(2,3,3)",6,11,14,1,
"(3,0,0)",4,5,9,14,
"(3,0,1)",14,4,5,9,
"(3,0,2)",9,14,4,5,
"(3,0,3)",5,9,14,4,
"(3,1,0)",3,5,10,13,
"(3,1,1)",13,3,5,10,
"(3,1,2)",10,13,3,5,
"(3,1,3)",5,10,13,3,
"(3,2,0)",2,5,11,16,
"(3,2,1)",16,2,5,11,
"(3,2,2)",11,16,2,5,
"(3,2,3)",5,11,16,2,
"(3,3,0)",1,5,12,15,
"(3,3,1)",15,1,5,12,
"(3,3,2)",12,15,1,5,
"(3,3,3)",5,12,15,1,
